filename,scatterness
.babelrc,2.92069
.codeclimate.yml,3.42241
.csscomb.json,2.92642
.eslintignore,1.30861
.eslintrc.yml,4.26268
.flayignore,3.22353
.foreman,0.0
.gitattributes,0.0
.gitignore,4.00524
.gitlab-ci.yml,6.175
.haml-lint.yml,4.76073
.mailmap,3.55535
.nvmrc,0.0
.pkgr.yml,3.55925
.prettierignore,1.33218
.prettierrc,2.35167
.rubocop.yml,4.51659
.rubocop_todo.yml,6.30862
.ruby-version,0.0
.scss-lint.yml,5.28189
CHANGELOG.md,0.0
config.ru,2.93612
CONTRIBUTING.md,5.17997
Dangerfile,1.94591
docker-compose.yml,0.69315
Gemfile,5.50472
Gemfile.lock,6.53381
Gemfile.rails5,1.94591
Gemfile.rails5.lock,6.81309
GITALY_SERVER_VERSION,0.0
GITLAB_PAGES_VERSION,0.0
GITLAB_SHELL_VERSION,0.0
GITLAB_WORKHORSE_VERSION,0.0
INSTALLATION_TYPE,0.0
LICENSE,1.79176
MAINTENANCE.md,1.09861
package.json,4.37264
PROCESS.md,5.18982
Procfile,1.79176
Rakefile,2.25386
README.md,4.25906
VERSION,0.0
yarn.lock,8.39872
config,0.0
description,0.0
HEAD,0.0
index,0.0
packed-refs,0.0
applypatch-msg.sample,0.0
commit-msg.sample,0.0
fsmonitor-watchman.sample,0.0
post-update.sample,0.0
pre-applypatch.sample,0.0
pre-commit.sample,0.0
pre-push.sample,0.0
pre-rebase.sample,0.0
pre-receive.sample,0.0
prepare-commit-msg.sample,0.0
update.sample,0.0
exclude,0.0
HEAD,0.0
master,0.0
HEAD,0.0
pack-61a966690c781d41e888eebaa78d80380106874f.idx,0.0
pack-61a966690c781d41e888eebaa78d80380106874f.pack,0.0
master,0.0
HEAD,0.0
ISSUE_TEMPLATE.md,1.09861
PULL_REQUEST_TEMPLATE.md,1.09861
route-map.yml,1.09861
Acceptance_Testing.md,4.60517
Bug.md,3.70676
Documentation.md,3.98898
Feature proposal.md,0.0
Research proposal.md,0.0
Security developer workflow.md,0.0
Test plan.md,0.0
Change documentation location.md,0.0
Database changes.md,0.0
Documentation.md,3.16248
favicon_status_canceled.ico,0.0
favicon_status_created.ico,0.0
favicon_status_failed.ico,0.0
favicon_status_manual.ico,0.0
favicon_status_not_found.ico,0.0
favicon_status_pending.ico,0.0
favicon_status_running.ico,0.0
favicon_status_skipped.ico,0.0
favicon_status_success.ico,0.0
favicon_status_warning.ico,0.0
activities.js,0.0
ajax_loading_spinner.js,3.40404
api.js,5.03564
autosave.js,3.64663
awards_handler.js,5.96062
breadcrumb.js,2.98531
breakpoints.js,2.58231
build_artifacts.js,3.61418
build_variables.js,0.0
close_reopen_report_toggle.js,4.44645
comment_type_toggle.js,3.92309
commits.js,3.93935
commit_merge_requests.js,4.28533
compare_autocomplete.js,0.0
confirm_danger_modal.js,3.35731
contextual_sidebar.js,0.0
create_item_dropdown.js,0.0
create_label.js,0.0
create_merge_request_dropdown.js,5.92291
diff.js,0.0
dispatcher.js,0.0
dropzone_input.js,5.54394
due_date_select.js,0.0
experimental_flags.js,2.43079
files_comment_button.js,4.02892
filterable_list.js,4.09074
flash.js,4.14156
fly_out_nav.js,4.80248
gfm_auto_complete.js,0.0
gl_dropdown.js,6.53769
gl_field_error.js,0.0
gl_field_errors.js,0.0
gl_form.js,0.0
gpg_badges.js,3.20788
group.js,3.01495
groups_list.js,2.61563
groups_select.js,4.27703
group_avatar.js,2.44102
group_label_subscription.js,0.0
header.js,2.79851
how_to_merge.js,2.52321
importer_status.js,4.33473
init_changes_dropdown.js,2.14584
init_issuable_sidebar.js,2.55368
init_labels.js,2.87148
init_legacy_filters.js,2.34199
init_notes.js,2.68595
issuable_bulk_update_actions.js,4.99984
issuable_bulk_update_sidebar.js,4.62675
issuable_context.js,3.69022
issuable_form.js,4.79197
issuable_index.js,0.0
issue.js,4.50918
issue_status_select.js,2.86744
job.js,0.0
labels.js,3.46105
labels_select.js,5.94611
label_manager.js,0.0
landing.js,3.61092
layout_nav.js,3.52116
lazy_loader.js,4.24192
line_highlighter.js,5.05928
logo.js,1.35178
main.js,0.0
members.js,0.0
member_expiration_date.js,0.0
merge_request.js,4.87157
merge_request_tabs.js,0.0
milestone.js,3.9259
milestone_select.js,5.16264
mini_pipeline_graph_dropdown.js,0.0
namespace_select.js,3.70778
new_branch_form.js,4.40124
new_commit_form.js,3.22389
notes.js,7.11912
