Issue ID,State,Created At (UTC),Updated At (UTC),Closed At (UTC),Weight,age_openbugs,,,,,,,
563,Open,9/5/2014,11/16/2018,,,1547,,,,,,,
662,Open,10/8/2014,8/28/2018,2017-05-22 12:36:18,,1514,,,,,,,
1193,Open,3/10/2015,11/16/2018,,,1360,,,,,,,
1300,Open,3/24/2015,8/28/2018,,,1346,,,,,,,
1446,Open,4/16/2015,11/16/2018,,,1323,,,,,,,
1511,Open,4/25/2015,11/13/2018,,,1315,,,,,,,
1754,Open,6/4/2015,9/22/2018,,2,1274,,,,,,,
1855,Open,6/22/2015,11/27/2018,,,1256,,,,,,,
1989,Open,7/16/2015,9/30/2018,,,1233,,,,,,,
2328,Open,8/21/2015,11/13/2018,,,1196,,,,,,,
2825,Open,9/29/2015,10/31/2018,,,1158,,,,,,,
2957,Open,10/6/2015,11/13/2018,,,1150,,,,,,,
3438,Open,11/11/2015,11/13/2018,,,1114,,,,,,,
3475,Open,11/13/2015,11/21/2018,,,1112,,,,,,,
3636,Open,11/23/2015,11/13/2018,,,1102,,,,,,,
3669,Open,11/25/2015,10/31/2018,,,1100,,,,,,,
3796,Open,12/2/2015,10/31/2018,,,1093,,,,,,,
3820,Open,12/3/2015,10/31/2018,,,1093,,,,,,,
4052,Open,12/14/2015,8/28/2018,,,1082,,,,,,,
4192,Open,12/18/2015,8/28/2018,,,1077,,,,,,,
4223,Open,12/22/2015,11/13/2018,,,1074,,,,,,,
4280,Open,12/24/2015,10/30/2018,,5,1072,,,,,,,
4286,Open,12/24/2015,9/30/2018,,,1072,,,,,,,
5613,Open,12/31/2015,10/31/2018,,,1064,,,,,,,
5820,Open,1/3/2016,11/13/2018,,2,1062,,,,,,,
5896,Open,1/6/2016,8/28/2018,,3,1058,,,,,,,
5939,Open,1/7/2016,10/31/2018,,,1057,,,,,,,
7039,Open,1/12/2016,8/28/2018,,,1053,,,,,,,
12411,Open,1/20/2016,11/16/2018,,,1045,,,,,,,
12452,Open,1/20/2016,11/16/2018,,,1044,,,,,,,
12742,Open,1/26/2016,10/31/2018,,3,1038,,,,,,,
13200,Open,2/4/2016,11/16/2018,,,1029,,,,,,,
13220,Open,2/5/2016,11/16/2018,,,1028,,,,,,,
13424,Open,2/13/2016,8/28/2018,,,1020,,,,,,,
13450,Open,2/15/2016,11/16/2018,,,1018,,,,,,,
13471,Open,2/15/2016,8/28/2018,,,1018,,,,,,,
13494,Open,2/16/2016,11/16/2018,,,1018,,,,,,,
13795,Open,2/25/2016,8/28/2018,2017-05-03 16:07:30,,1009,,,,,,,
13812,Open,2/25/2016,8/28/2018,,,1008,,,,,,,
14048,Open,3/5/2016,11/10/2018,,,1000,,,,,,,
14240,Open,3/14/2016,10/23/2018,,,991,,,,,,,
14406,Open,3/18/2016,11/13/2018,,2,986,,,,,,,
14573,Open,3/23/2016,8/28/2018,,,981,,,,,,,
14620,Open,3/25/2016,11/16/2018,,2,980,,,,,,,
14724,Open,3/29/2016,11/10/2018,,,975,,,,,,,
14778,Open,3/31/2016,11/24/2018,,,974,,,,,,,
14913,Open,4/5/2016,11/16/2018,,,969,,,,,,,
15261,Open,4/14/2016,11/16/2018,,,959,,,,,,,
15309,Open,4/16/2016,11/16/2018,,,957,,,,,,,
15346,Open,4/18/2016,10/31/2018,,,955,,,,,,,
15369,Open,4/19/2016,11/13/2018,,,954,,,,,,,
15411,Open,4/20/2016,11/13/2018,,,953,,,,,,,
15466,Open,4/21/2016,7/4/2018,,,952,,,,,,,
15610,Open,4/25/2016,11/13/2018,,,948,,,,,,,
17017,Open,4/29/2016,8/28/2018,,,945,,,,,,,
17019,Open,4/29/2016,11/13/2018,,,945,,,,,,,
17203,Open,5/3/2016,10/31/2018,,3,941,,,,,,,
17264,Open,5/4/2016,8/28/2018,,,940,,,,,,,
17276,Open,5/4/2016,11/26/2018,,,939,,,,,,,
17487,Open,5/12/2016,11/13/2018,2018-01-17 4:35:58,,931,,,,,,,
17518,Open,5/13/2016,8/28/2018,,,931,,,,,,,
17690,Open,5/20/2016,11/1/2018,,,923,,,,,,,
17722,Open,5/22/2016,8/28/2018,,3,921,,,,,,,
17797,Open,5/24/2016,11/26/2018,,2,920,,,,,,,
17811,Open,5/24/2016,11/13/2018,,,919,,,,,,,
17894,Open,5/25/2016,9/30/2018,,,918,,,,,,,
17945,Open,5/27/2016,11/10/2018,,,917,,,,,,,
17987,Open,5/29/2016,10/29/2018,,,914,,,,,,,
18109,Open,6/2/2016,8/28/2018,,2,911,,,,,,,
18151,Open,6/3/2016,11/7/2018,,,910,,,,,,,
18199,Open,6/4/2016,11/15/2018,,,908,,,,,,,
18214,Open,6/6/2016,11/1/2018,,,907,,,,,,,
18287,Open,6/7/2016,11/13/2018,,3,905,,,,,,,
18291,Open,6/7/2016,8/28/2018,,,905,,,,,,,
18296,Open,6/7/2016,10/31/2018,,,905,,,,,,,
18496,Open,6/12/2016,8/28/2018,,,900,,,,,,,
18548,Open,6/14/2016,10/31/2018,,2,899,,,,,,,
18598,Open,6/14/2016,10/29/2018,,,898,,,,,,,
19029,Open,6/23/2016,11/13/2018,2017-10-23 4:31:10,3,890,,,,,,,
19115,Open,6/24/2016,8/28/2018,,,889,,,,,,,
19186,Open,6/27/2016,9/29/2018,,2,886,,,,,,,
19188,Open,6/27/2016,11/13/2018,,,886,,,,,,,
19229,Open,6/27/2016,10/31/2018,,,885,,,,,,,
19407,Open,7/1/2016,11/13/2018,,,882,,,,,,,
19417,Open,7/1/2016,11/14/2018,,,882,,,,,,,
19463,Open,7/4/2016,8/28/2018,,,879,,,,,,,
19803,Open,7/13/2016,11/13/2018,,3,869,,,,,,,
19811,Open,7/14/2016,8/28/2018,,,869,,,,,,,
19816,Open,7/14/2016,11/20/2018,,,869,,,,,,,
19906,Open,7/16/2016,11/13/2018,,,866,,,,,,,
19926,Open,7/18/2016,8/28/2018,,,865,,,,,,,
19979,Open,7/19/2016,8/28/2018,,,863,,,,,,,
20023,Open,7/20/2016,10/31/2018,,,863,,,,,,,
20053,Open,7/20/2016,11/13/2018,,,862,,,,,,,
20085,Open,7/21/2016,11/13/2018,,,862,,,,,,,
20099,Open,7/21/2016,8/28/2018,,,861,,,,,,,
20171,Open,7/23/2016,11/1/2018,,,860,,,,,,,
20203,Open,7/24/2016,8/28/2018,2017-11-18 4:28:55,,858,,,,,,,
20215,Open,7/25/2016,11/1/2018,,,858,,,,,,,
20234,Open,7/25/2016,10/31/2018,,,857,,,,,,,
20286,Open,7/26/2016,8/28/2018,,,856,,,,,,,
20298,Open,7/26/2016,10/31/2018,,2,856,,,,,,,
20320,Open,7/27/2016,11/13/2018,,,856,,,,,,,
20388,Open,7/28/2016,8/28/2018,,,854,,,,,,,
20408,Open,7/28/2016,8/28/2018,,,854,,,,,,,
20496,Open,8/1/2016,11/13/2018,2017-10-23 4:30:23,,850,,,,,,,
20514,Open,8/1/2016,8/28/2018,,,850,,,,,,,
20565,Open,8/3/2016,8/28/2018,,,849,,,,,,,
20566,Open,8/3/2016,8/28/2018,,,849,,,,,,,
20597,Open,8/3/2016,8/28/2018,,,848,,,,,,,
20619,Open,8/4/2016,10/31/2018,,,848,,,,,,,
20626,Open,8/4/2016,8/28/2018,,,847,,,,,,,
20644,Open,8/4/2016,11/13/2018,,,847,,,,,,,
20650,Open,8/5/2016,11/13/2018,,3,847,,,,,,,
20692,Open,8/7/2016,10/29/2018,,1,844,,,,,,,
20727,Open,8/9/2016,11/5/2018,,,843,,,,,,,
20731,Open,8/9/2016,11/1/2018,,,843,,,,,,,
20772,Open,8/10/2016,10/31/2018,,,841,,,,,,,
20790,Open,8/10/2016,10/31/2018,,,841,,,,,,,
20811,Open,8/11/2016,8/28/2018,,,841,,,,,,,
21032,Open,8/17/2016,11/1/2018,,,834,,,,,,,
21041,Open,8/18/2016,8/28/2018,,,834,,,,,,,
21155,Open,8/22/2016,11/13/2018,,,830,,,,,,,
21190,Open,8/22/2016,11/13/2018,,,829,,,,,,,
21405,Open,8/24/2016,11/1/2018,,2,827,,,,,,,
21461,Open,8/25/2016,11/13/2018,,,826,,,,,,,
21467,Open,8/25/2016,9/29/2018,,6,826,,,,,,,
21519,Open,8/26/2016,11/13/2018,,,825,,,,,,,
21577,Open,8/28/2016,9/29/2018,,,824,,,,,,,
21581,Open,8/28/2016,11/1/2018,,3,823,,,,,,,
21656,Open,8/30/2016,11/29/2018,,1,821,,,,,,,
21801,Open,9/2/2016,8/28/2018,,,819,,,,,,,
