Issue Type,Issue key,Status,Created,Priority,Resolved,Bug age,,,,,,,,,,
Bug,PUP-384,Closed,9/18/2013,Blocker,9/20/2013,2,,,,,,,,,,
Bug,PUP-726,Closed,11/12/2013,Blocker,11/15/2013,3,,,,,,,,,,
Bug,PUP-841,Closed,11/20/2013,Blocker,11/25/2013,5,,,,,,,,,,
Bug,PUP-1144,Closed,12/17/2013,Blocker,1/7/2014,21,,,,,,,,,,
Bug,PUP-1524,Closed,1/27/2014,Blocker,2/19/2014,23,,,,,,,,,,
Bug,PUP-1681,Closed,2/12/2014,Blocker,2/13/2014,1,,,,,,,,,,
Bug,PUP-1963,Closed,3/17/2014,Blocker,10/28/2015,590,,,,,,,,,,
Bug,PUP-2163,Closed,4/4/2014,Blocker,1/23/2015,294,,,,,,,,,,
Bug,PUP-2561,Closed,5/13/2014,Blocker,5/14/2014,1,,,,,,,,,,
Bug,PUP-2562,Closed,5/13/2014,Blocker,5/14/2014,1,,,,,,,,,,
Bug,PUP-2662,Closed,5/27/2014,Blocker,5/27/2014,0,,,,,,,,,,
Bug,PUP-2705,Closed,6/1/2014,Blocker,6/10/2014,9,,,,,,,,,,
Bug,PUP-2751,Closed,6/11/2014,Blocker,6/12/2014,1,,,,,,,,,,
Bug,PUP-2756,Closed,6/11/2014,Blocker,6/16/2014,5,,,,,,,,,,
Bug,PUP-2800,Closed,6/18/2014,Blocker,6/18/2014,0,,,,,,,,,,
Bug,PUP-3054,Closed,8/13/2014,Blocker,8/20/2014,7,,,,,,,,,,
Bug,PUP-3190,Closed,9/5/2014,Blocker,9/12/2014,7,,,,,,,,,,
Bug,PUP-5441,Closed,10/27/2015,Blocker,11/10/2015,14,,,,,,,,,,
Bug,PUP-5425,Closed,10/23/2015,Blocker,11/10/2015,18,,,,,,,,,,
Bug,PUP-5294,Closed,9/29/2015,Blocker,10/27/2015,28,,,,,,,,,,
Bug,PUP-5293,Closed,9/29/2015,Blocker,10/12/2015,13,,,,,,,,,,
Bug,PUP-5275,Closed,9/22/2015,Blocker,11/5/2015,44,,,,,,,,,,
Bug,PUP-5299,Closed,9/21/2015,Blocker,10/12/2015,21,,,,,,,,,,
Bug,PUP-5152,Closed,9/2/2015,Blocker,5/15/2017,621,,,,,,,,,,
Bug,PUP-5075,Closed,8/24/2015,Blocker,9/2/2015,9,,,,,,,,,,
Bug,PUP-4970,Closed,7/31/2015,Blocker,10/2/2015,63,,,,,,,,,,
Bug,PUP-4747,Closed,6/11/2015,Blocker,6/18/2015,7,,,,,,,,,,
Bug,PUP-4334,Closed,3/28/2015,Blocker,5/20/2015,53,,,,,,,,,,
Bug,PUP-3955,Closed,2/3/2015,Blocker,6/12/2015,129,,,,,,,,,,
Bug,PUP-3599,Closed,10/31/2014,Blocker,10/31/2014,0,,,,,,,,,,
Bug,PUP-3588,Closed,10/29/2014,Blocker,10/30/2014,1,,,,,,,,,,
Bug,PUP-3505,Closed,10/22/2014,Blocker,10/24/2014,2,,,,,,,,,,
Bug,PUP-3500,Closed,10/22/2014,Blocker,10/24/2014,2,,,,,,,,,,
Bug,PUP-3406,Closed,10/8/2014,Blocker,10/8/2014,0,,,,,,,,,,
Bug,PUP-5645,Closed,1/3/2016,Blocker,8/14/2017,589,,,,,,,,,,
Bug,PUP-5684,Closed,1/10/2016,Blocker,1/13/2016,3,,,,,,,,,,
Bug,PUP-5721,Closed,1/18/2016,Blocker,1/18/2016,0,,,,,,,,,,
Bug,PUP-6168,Closed,4/13/2016,Blocker,4/14/2016,1,,,,,,,,,,
Bug,PUP-6176,Closed,4/14/2016,Blocker,4/18/2016,4,,,,,,,,,,
Bug,PUP-6235,Closed,4/26/2016,Blocker,4/28/2016,2,,,,,,,,,,
Bug,PUP-6336,Closed,5/20/2016,Blocker,5/24/2016,4,,,,,,,,,,
Bug,PUP-6445,Closed,6/27/2016,Blocker,6/28/2016,1,,,,,,,,,,
Bug,PUP-6459,Closed,6/29/2016,Blocker,8/5/2016,37,,,,,,,,,,
Bug,PUP-6558,Closed,7/27/2016,Blocker,8/10/2016,14,,,,,,,,,,
Bug,PUP-6609,Closed,8/12/2016,Blocker,7/6/2017,328,,,,,,,,,,
Bug,PUP-6650,Closed,8/24/2016,Blocker,9/2/2016,9,,,,,,,,,,
Bug,PUP-6653,Closed,8/25/2016,Blocker,9/2/2016,8,,,,,,,,,,
Bug,PUP-6695,Closed,9/9/2016,Blocker,9/10/2016,1,,,,,,,,,,
Bug,PUP-6717,Closed,9/21/2016,Blocker,9/21/2016,0,,,,,,,,,,
Bug,PUP-6724,Closed,9/22/2016,Blocker,9/28/2016,6,,,,,,,,,,
Bug,PUP-6799,Closed,10/6/2016,Blocker,10/19/2016,13,,,,,,,,,,
Bug,PUP-6993,Closed,12/9/2016,Blocker,1/5/2017,27,,,,,,,,,,
Bug,PUP-7082,Closed,1/9/2017,Blocker,5/16/2017,127,,,,,,,,,,
Bug,PUP-7171,Closed,2/3/2017,Blocker,2/7/2017,4,,,,,,,,,,
Bug,PUP-7190,Closed,2/8/2017,Blocker,2/9/2017,1,,,,,,,,,,
Bug,PUP-7199,Closed,2/9/2017,Blocker,5/17/2017,97,,,,,,,,,,
Bug,PUP-7214,Closed,2/13/2017,Blocker,2/24/2017,11,,,,,,,,,,
Bug,PUP-7235,Closed,2/20/2017,Blocker,3/1/2017,9,,,,,,,,,,
Bug,PUP-7240,Closed,2/21/2017,Blocker,3/14/2017,21,,,,,,,,,,
Bug,PUP-7337,Closed,3/10/2017,Blocker,3/10/2017,0,,,,,,,,,,
Bug,PUP-7450,Closed,4/13/2017,Blocker,4/18/2017,5,,,,,,,,,,
Bug,PUP-7554,Closed,5/16/2017,Blocker,6/1/2017,16,,,,,,,,,,
Bug,PUP-8175,Closed,6/7/2017,Blocker,1/16/2018,223,,,,,,,,,,
Bug,PUP-7653,Closed,6/12/2017,Blocker,6/12/2017,0,,,,,,,,,,
Bug,PUP-7659,Closed,6/14/2017,Blocker,6/14/2017,0,,,,,,,,,,
Bug,PUP-7671,Closed,6/16/2017,Blocker,6/26/2017,10,,,,,,,,,,
Bug,PUP-7687,Closed,6/22/2017,Blocker,6/22/2017,0,,,,,,,,,,
Bug,PUP-7795,Closed,7/21/2017,Blocker,11/30/2017,132,,,,,,,,,,
Bug,PUP-7830,Closed,8/10/2017,Blocker,8/18/2017,8,,,,,,,,,,
Bug,PUP-7893,Closed,8/30/2017,Blocker,8/31/2017,1,,,,,,,,,,
Bug,PUP-7920,Closed,9/6/2017,Blocker,9/12/2017,6,,,,,,,,,,
