filename,scatterness
.gemspec,0.0
.gitignore,3.03151
.gitmodules,1.09861
.hound.yml,0.69315
.mailmap,4.56711
.noexec.yaml,1.33218
.rubocop.yml,6.55487
.travis.yml,3.24095
.yardopts,2.58231
appveyor.yml,3.86212
COMMITTERS.md,5.14631
CONTRIBUTING.md,4.66512
Gemfile,3.64693
install.rb,5.6773
LICENSE,2.67012
MAINTAINERS,3.51574
Rakefile,4.34355
README.md,0.0
config,0.0
description,0.0
HEAD,0.0
index,0.0
packed-refs,0.0
applypatch-msg.sample,0.0
commit-msg.sample,0.0
fsmonitor-watchman.sample,0.0
post-update.sample,0.0
pre-applypatch.sample,0.0
pre-commit.sample,0.0
pre-push.sample,0.0
pre-rebase.sample,0.0
pre-receive.sample,0.0
prepare-commit-msg.sample,0.0
update.sample,0.0
exclude,0.0
HEAD,0.0
master,0.0
HEAD,0.0
pack-78f310ed637be29f4660867ff80d4e55807ba7a5.idx,0.0
pack-78f310ed637be29f4660867ff80d4e55807ba7a5.pack,0.0
master,0.0
HEAD,0.0
.beaker.yml,2.52321
.gitignore,0.0
Gemfile,0.0
Rakefile,0.0
README.md,0.0
vmpooler.cfg,3.09104
options.rb,0.69315
options.rb,0.63651
options.rb,0.0
aix-53-power.yaml,2.61563
aix-61-power.yaml,2.61563
aix-71-power.yaml,2.61563
gem.yaml,3.3673
huaweios-6-powerpc.yaml,2.63906
solaris-10-sparc.yaml,2.75167
solaris-11-sparc.yaml,2.75167
centos-5-32ma-32da-32da,0.0
centos-5-32mda,0.0
centos-5-64ma-64da-64da,0.0
centos-5-64mda,0.0
centos-6-32ma-32da-32da,0.0
centos-6-32mda,0.0
centos-6-64ma-64da-64da,0.0
centos-6-64mda,0.0
centos-6-64mda-sol-10-64a,0.0
debian-6-32ma-32da-32da,0.0
debian-6-32mda,0.0
debian-6-64ma-64da-64da,0.0
debian-6-64mda,0.0
debian-7-32ma-32da-32da,0.0
debian-7-32mda,0.0
debian-7-64ma-64da-64da,0.0
debian-7-64mda,0.0
debian-7-i386,0.0
oracle-5-32ma-32da-32da,0.0
oracle-5-32mda,0.0
oracle-5-64ma-64da-64da,0.0
oracle-5-64mda,0.0
oracle-6-32ma-32da-32da,0.0
oracle-6-32mda,0.0
oracle-6-64ma-64da-64da,0.0
oracle-6-64mda,0.0
redhat-5-32ma-32da-32da,0.0
redhat-5-32mda,0.0
redhat-5-64ma-64da-64da,0.0
redhat-5-64mda,0.0
redhat-6-32ma-32da-32da,0.0
